,NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,APPEARANCES,YEAR,STUDIO
0,Spider-Man (Peter Parker),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Heterosexual,4043,1962,MARVEL
1,Captain America (Steven Rogers),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual,3360,1941,MARVEL
2,"Wolverine (James \""Logan\"" Howlett)",Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,3061,1974,MARVEL
3,"Iron Man (Anthony \""Tony\"" Stark)",Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,2961,1963,MARVEL
4,Thor (Thor Odinson),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,2258,1950,MARVEL
5,Benjamin Grimm (Earth-616),Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,Heterosexual,2255,1961,MARVEL
6,Reed Richards (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,2072,1961,MARVEL
7,Hulk (Robert Bruce Banner),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,2017,1962,MARVEL
8,Scott Summers (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,1955,1963,MARVEL
9,Jonathan Storm (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,1934,1961,MARVEL
10,Henry McCoy (Earth-616),Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,Heterosexual,1825,1963,MARVEL
11,Susan Storm (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,1713,1961,MARVEL
13,Ororo Munroe (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual,1512,1975,MARVEL
14,Clinton Barton (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,1394,1964,MARVEL
15,Matthew Murdock (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual,1338,1964,MARVEL
16,Stephen Strange (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Heterosexual,1307,1963,MARVEL
17,Mary Jane Watson (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,1304,1965,MARVEL
18,John Jonah Jameson (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,1266,1963,MARVEL
19,Robert Drake (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,1265,1963,MARVEL
20,Henry Pym (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,1237,1962,MARVEL
21,Charles Xavier (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Heterosexual,1233,1963,MARVEL
22,Warren Worthington III (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,1230,1963,MARVEL
23,Piotr Rasputin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,1162,1975,MARVEL
24,Wanda Maximoff (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Heterosexual,1161,1964,MARVEL
25,Nicholas Fury (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,1137,1963,MARVEL
26,Janet van Dyne (Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,Heterosexual,1120,1963,MARVEL
27,Jean Grey (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,1107,1963,MARVEL
28,Natalia Romanova (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Bisexual Characters,1050,1964,MARVEL
29,Kurt Wagner (Earth-616),Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,Heterosexual,1047,1975,MARVEL
30,Vision (Earth-616),Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,Heterosexual,1007,1968,MARVEL
31,May Reilly (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,Heterosexual,1000,1962,MARVEL
32,Katherine Pryde (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,Heterosexual,886,1980,MARVEL
33,Carol Danvers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,881,1968,MARVEL
34,Jennifer Walters (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Heterosexual,881,1980,MARVEL
35,Emma Frost (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Heterosexual,880,1980,MARVEL
36,Frank Castle (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,878,1974,MARVEL
37,Luke Cage (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,856,1972,MARVEL
39,Conan (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,787,1970,MARVEL
40,Joseph Robertson (Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Heterosexual,752,1967,MARVEL
41,Pietro Maximoff (Earth-616),Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,Heterosexual,740,1964,MARVEL
42,Hercules (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,725,1965,MARVEL
43,Victor von Doom (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,721,1962,MARVEL
44,Max Eisenhardt (Earth-616),Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,Heterosexual,709,1963,MARVEL
45,Elizabeth Braddock (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Bisexual Characters,708,1976,MARVEL
46,Norrin Radd (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Heterosexual,696,1966,MARVEL
47,Norman Osborn (Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Heterosexual,692,1964,MARVEL
48,Eugene Thompson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Heterosexual,689,1962,MARVEL
49,Simon Williams (Earth-616),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,Heterosexual,686,1964,MARVEL
50,Samuel Guthrie (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,657,1982,MARVEL
51,James Buchanan Barnes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,641,1941,MARVEL
52,Remy LeBeau (Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,Heterosexual,636,1990,MARVEL
53,Daniel Rand (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,618,1974,MARVEL
54,Nathan Summers (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Heterosexual,612,1986,MARVEL
55,Elizabeth Brant (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Heterosexual,599,1963,MARVEL
56,Richard Jones (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,590,1962,MARVEL
57,Edwin Jarvis (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual,567,1964,MARVEL
58,Alexander Summers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,558,1969,MARVEL
59,Patricia Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Heterosexual,550,1944,MARVEL
60,Human Torch (Android) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,548,1939,MARVEL
61,Loki Laufeyson (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,532,1949,MARVEL
62,Franklin Nelson (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,Heterosexual,528,1964,MARVEL
63,Brian Braddock (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,528,1976,MARVEL
64,Otto Octavius (Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Heterosexual,526,1963,MARVEL
65,James Rhodes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,525,1979,MARVEL
66,Timothy Dugan (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual,517,1963,MARVEL
67,Crystalia Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Heterosexual,512,1965,MARVEL
68,Samuel Wilson (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,512,1969,MARVEL
69,Wilson Fisk (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Heterosexual,503,1967,MARVEL
70,Odin Borson (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Heterosexual,502,1962,MARVEL
71,Deadpool (Wade Wilson),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Transvestites,500,1991,MARVEL
72,Dane Whitman (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,478,1967,MARVEL
